municipality_slug,name,psgc_code
almeria,Caucab,
almeria,Iyosan,
almeria,Jamorawon,
almeria,Lo-ok,
almeria,Matanga,
almeria,Pili,
almeria,Poblacion,
almeria,Pulang Bato,
almeria,Salangi,
almeria,Sampao,
almeria,Tabunan,
almeria,Talahid,
almeria,Tamarindo,
biliran,Bato,
biliran,Burabod,
biliran,Busali,
biliran,Canila,
biliran,Hugpa,
biliran,Julita,
biliran,Pinangumhan,
biliran,San Isidro,
biliran,San Roque,
biliran,Sanggalang,
biliran,Villa Enage,
cabucgayan,Balaquid,
cabucgayan,Baso,
cabucgayan,Bunga,
cabucgayan,Caanibongan,
cabucgayan,Casiawan,
cabucgayan,Esperanza,
cabucgayan,Langgao,
cabucgayan,Libertad,
cabucgayan,Looc,
cabucgayan,Magbangon,
cabucgayan,Pawikan,
cabucgayan,Salawad,
cabucgayan,Talibong,
caibiran,Alegria,
caibiran,Asug,
caibiran,Bari-is,
caibiran,Binohangan,
caibiran,Cabibihan,
caibiran,Caulangohan,
caibiran,Kawayanon,
caibiran,Looc,
caibiran,Manlabang,
caibiran,Maurang,
caibiran,Palanay,
caibiran,Palengke,
caibiran,Tomalistis,
caibiran,Union,
caibiran,Uson,
caibiran,Victory,
caibiran,Villa Vicenta,
culaba,Acaban,
culaba,Bacolod,
culaba,Binongtoan,
culaba,Bool Central,
culaba,Bool East,
culaba,Bool West,
culaba,Calipayan,
culaba,Culaba Central,
culaba,Guindapunan,
culaba,Habuhab,
culaba,Looc,
culaba,Marvel,
culaba,Patag,
culaba,Pinamihagan,
culaba,Salvacion,
culaba,San Roque,
culaba,Virginia,
kawayan,Baganito,
kawayan,Balacson,
kawayan,Balite,
kawayan,Bilwang,
kawayan,Bulalacao,
kawayan,Burabod,
kawayan,Buyo,
kawayan,Inasuyan,
kawayan,Kansanok,
kawayan,Mada-o,
kawayan,Mapuyo,
kawayan,Masagaosao,
kawayan,Masagongsong,
kawayan,Poblacion,
kawayan,San Lorenzo,
kawayan,Tabunan North,
kawayan,Tubig Guinoo,
kawayan,Tucdao,
kawayan,Ungale,
kawayan,Villa Cornejo,
maripipi,Agutay,
maripipi,Banlas,
maripipi,Bato,
maripipi,Binalayan East,
maripipi,Binalayan West,
maripipi,Binongto-an,
maripipi,Burabod,
maripipi,Calbani,
maripipi,Canduhao,
maripipi,Casibang,
maripipi,Danao,
maripipi,Ermita,
maripipi,Ol-og,
maripipi,Trabugan,
maripipi,Viga,
naval,Agpangi,
naval,Anislagan,
naval,Atipolo,
naval,Borac,
naval,Cabungaan,
naval,Calumpang,
naval,Capiñahan,
naval,Caraycaray,
naval,Catmon,
naval,Haguikhikan,
naval,Imelda,
naval,Larrazabal,
naval,Libertad,
naval,Libtong,
naval,Lico,
naval,Lucsoon,
naval,Mabini,
naval,Padre Inocentes Garcia,
naval,Padre Sergio Eamiguel,
naval,Sabang,
naval,San Pablo,
naval,Santissimo Rosario Poblacion,
naval,Santo Niño,
naval,Talustusan,
naval,Villa Caneja,
naval,Villa Consuelo,
